21# Number of electrodes
# x z position for each electrode
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
116# Number of data
#a b m n rhoa
   1	   2	   3	   4	107.57
   2	   3	   4	   5	97.91
   3	   4	   5	   6	89.75
   4	   5	   6	   7	84.65
   5	   6	   7	   8	114.66
   6	   7	   8	   9	97.88
   7	   8	   9	  10	101.16
   8	   9	  10	  11	130.76
   9	  10	  11	  12	181.85
  10	  11	  12	  13	195.95
  11	  12	  13	  14	141.86
  12	  13	  14	  15	116.55
  13	  14	  15	  16	136.72
  14	  15	  16	  17	195.89
  15	  16	  17	  18	198.96
  16	  17	  18	  19	197.29
  17	  18	  19	  20	183.18
  18	  19	  20	  21	142.82
   1	   2	   4	   5	95.42
   2	   3	   5	   6	107.79
   3	   4	   6	   7	97.90
   4	   5	   7	   8	115.47
   5	   6	   8	   9	129.88
   6	   7	   9	  10	114.04
   7	   8	  10	  11	154.50
   8	   9	  11	  12	215.32
   9	  10	  12	  13	262.57
  10	  11	  13	  14	214.52
  11	  12	  14	  15	161.68
  12	  13	  15	  16	157.89
  13	  14	  16	  17	205.20
  14	  15	  17	  18	270.08
  15	  16	  18	  19	265.10
  16	  17	  19	  20	262.50
  17	  18	  20	  21	206.57
   1	   2	   5	   6	113.13
   2	   3	   6	   7	113.74
   3	   4	   7	   8	125.03
   4	   5	   8	   9	127.92
   5	   6	   9	  10	142.01
   6	   7	  10	  11	159.43
   7	   8	  11	  12	213.38
   8	   9	  12	  13	246.75
   9	  10	  13	  14	237.57
  10	  11	  14	  15	227.70
  11	  12	  15	  16	210.39
  12	  13	  16	  17	212.14
  13	  14	  17	  18	234.05
  14	  15	  18	  19	295.63
  15	  16	  19	  20	287.39
  16	  17	  20	  21	247.54
   1	   2	   6	   7	117.27
   2	   3	   7	   8	139.05
   3	   4	   8	   9	135.02
   4	   5	   9	  10	138.46
   5	   6	  10	  11	192.52
   6	   7	  11	  12	202.45
   7	   8	  12	  13	222.26
   8	   9	  13	  14	199.86
   9	  10	  14	  15	230.23
  10	  11	  15	  16	275.24
  11	  12	  16	  17	269.14
  12	  13	  17	  18	233.81
  13	  14	  18	  19	239.50
  14	  15	  19	  20	286.16
  15	  16	  20	  21	254.01
   1	   2	   7	   8	140.65
   2	   3	   8	   9	150.02
   3	   4	   9	  10	147.20
   4	   5	  10	  11	192.45
   5	   6	  11	  12	231.87
   6	   7	  12	  13	198.72
   7	   8	  13	  14	175.75
   8	   9	  14	  15	193.94
   9	  10	  15	  16	264.54
  10	  11	  16	  17	337.17
  11	  12	  17	  18	292.82
  12	  13	  18	  19	248.26
  13	  14	  19	  20	230.26
  14	  15	  20	  21	253.20
   1	   2	   8	   9	151.69
   2	   3	   9	  10	162.40
   3	   4	  10	  11	203.69
   4	   5	  11	  12	225.44
   5	   6	  12	  13	223.41
   6	   7	  13	  14	159.88
   7	   8	  14	  15	179.53
   8	   9	  15	  16	222.78
   9	  10	  16	  17	313.33
  10	  11	  17	  18	354.97
  11	  12	  18	  19	310.05
  12	  13	  19	  20	237.60
  13	  14	  20	  21	210.29
   1	   2	   9	  10	165.97
   2	   3	  10	  11	229.64
   3	   4	  11	  12	227.24
   4	   5	  12	  13	212.38
   5	   6	  13	  14	180.17
   6	   7	  14	  15	169.51
   7	   8	  15	  16	212.85
   8	   9	  16	  17	262.97
   9	  10	  17	  18	323.21
  10	  11	  18	  19	367.00
  11	  12	  19	  20	291.76
  12	  13	  20	  21	228.00
   1	   2	  10	  11	230.79
   2	   3	  11	  12	249.66
   3	   4	  12	  13	214.60
   4	   5	  13	  14	173.82
   5	   6	  14	  15	197.45
   6	   7	  15	  16	203.44
   7	   8	  16	  17	253.08
   8	   9	  17	  18	267.68
   9	  10	  18	  19	332.01
  10	  11	  19	  20	346.03
  11	  12	  20	  21	284.10
