32# Number of electrodes
# x z #position for each electrode
1	-5
3	-5
5	-5
7	-5
9	-5
11	-5
13	-5
15	-5
17	-5
19	-5
21	-5
23	-5
25	-5
27	-5
29	-5
31	-5
33	-5
35	-5
37	-5
39	-5
41	-5
43	-5
45	-5
47	-5
49	-5
51	-5
53	-5
55	-5
57	-5
59	-5
61	-5
63	-5
202# Number of data
#a b m n R err
   1	   2	   3	   4	-0.172391	0.0205751
   2	   3	   4	   5	-0.167975	0.0205751
   3	   4	   5	   6	-0.174379	0.0205751
   4	   5	   6	   7	-0.174952	0.0205751
   5	   6	   7	   8	-0.169805	0.0205751
   6	   7	   8	   9	-0.17814	0.0205751
   7	   8	   9	  10	-0.178071	0.0205751
   8	   9	  10	  11	-0.173527	0.020576
   9	  10	  11	  12	-0.174367	0.0205773
  10	  11	  12	  13	-0.172834	0.0205808
  11	  12	  13	  14	-0.173953	0.0205725
  12	  13	  14	  15	-0.190284	0.0205333
  13	  14	  15	  16	-0.185225	0.0205333
  14	  15	  16	  17	-0.182467	0.0205725
  15	  16	  17	  18	-0.171732	0.0205808
  16	  17	  18	  19	-0.173607	0.0205773
  17	  18	  19	  20	-0.177474	0.020576
  18	  19	  20	  21	-0.174031	0.0205751
  19	  20	  21	  22	-0.173537	0.0205751
  20	  21	  22	  23	-0.170929	0.0205751
  21	  22	  23	  24	-0.174976	0.0205751
  22	  23	  24	  25	-0.169149	0.0205751
  23	  24	  25	  26	-0.176492	0.0205751
  24	  25	  26	  27	-0.17975	0.0205751
  25	  26	  27	  28	-0.171466	0.0205747
  26	  27	  28	  29	-0.177014	0.0205747
  27	  28	  29	  30	-0.178432	0.0205747
  28	  29	  30	  31	-0.168241	0.0205747
  29	  30	  31	  32	-0.168788	0.0205747
   1	   2	   4	   5	-0.0437747	0.0223144
   2	   3	   5	   6	-0.0428339	0.0223144
   3	   4	   6	   7	-0.0438783	0.0223144
   4	   5	   7	   8	-0.043988	0.0223144
   5	   6	   8	   9	-0.043867	0.0223161
   6	   7	   9	  10	-0.0443805	0.0223179
   7	   8	  10	  11	-0.0436796	0.0223232
   8	   9	  11	  12	-0.0439166	0.0223374
   9	  10	  12	  13	-0.0412759	0.0223572
  10	  11	  13	  14	-0.0439084	0.0222765
  11	  12	  14	  15	-0.0484547	0.022056
  12	  13	  15	  16	-0.0502274	0.0219204
  13	  14	  16	  17	-0.0488986	0.022056
  14	  15	  17	  18	-0.042894	0.0222765
  15	  16	  18	  19	-0.0437585	0.0223572
  16	  17	  19	  20	-0.0420096	0.0223374
  17	  18	  20	  21	-0.0435455	0.0223232
  18	  19	  21	  22	-0.0433497	0.0223179
  19	  20	  22	  23	-0.0422928	0.0223161
  20	  21	  23	  24	-0.0411093	0.0223144
  21	  22	  24	  25	-0.0431561	0.0223144
  22	  23	  25	  26	-0.0422451	0.0223144
  23	  24	  26	  27	-0.0438166	0.0223144
  24	  25	  27	  28	-0.0437164	0.0223126
  25	  26	  28	  29	-0.044861	0.0223126
  26	  27	  29	  30	-0.0438001	0.0223126
  27	  28	  30	  31	-0.0426099	0.0223126
  28	  29	  31	  32	-0.0435982	0.0223126
   1	   2	   5	   6	-0.0174832	0.0255733
   2	   3	   6	   7	-0.0179321	0.0255733
   3	   4	   7	   8	-0.0179101	0.0255775
   4	   5	   8	   9	-0.0179166	0.0255817
   5	   6	   9	  10	-0.0177401	0.0255901
   6	   7	  10	  11	-0.0183158	0.0256113
   7	   8	  11	  12	-0.0168056	0.0256627
   8	   9	  12	  13	-0.0176758	0.0257195
   9	  10	  13	  14	-0.0187908	0.0254424
  10	  11	  14	  15	-0.0207274	0.0249122
  11	  12	  15	  16	-0.0214721	0.0247244
  12	  13	  16	  17	-0.0211906	0.0247244
  13	  14	  17	  18	-0.0206998	0.0249122
  14	  15	  18	  19	-0.018638	0.0254424
  15	  16	  19	  20	-0.0173686	0.0257195
  16	  17	  20	  21	-0.017484	0.0256627
  17	  18	  21	  22	-0.0176815	0.0256113
  18	  19	  22	  23	-0.0172106	0.0255901
  19	  20	  23	  24	-0.0178096	0.0255817
  20	  21	  24	  25	-0.0179868	0.0255775
  21	  22	  25	  26	-0.0180857	0.0255733
  22	  23	  26	  27	-0.0186091	0.0255733
  23	  24	  27	  28	-0.0177889	0.0255691
  24	  25	  28	  29	-0.0182383	0.0255691
  25	  26	  29	  30	-0.0183206	0.0255691
  26	  27	  30	  31	-0.0183868	0.0255691
  27	  28	  31	  32	-0.0175001	0.0255691
   1	   2	   6	   7	-0.00977298	0.0303
   2	   3	   7	   8	-0.00977359	0.0303076
   3	   4	   8	   9	-0.00939544	0.0303152
   4	   5	   9	  10	-0.00945058	0.0303458
   5	   6	  10	  11	-0.00993504	0.0303999
   6	   7	  11	  12	-0.00947213	0.0305176
   7	   8	  12	  13	-0.00952825	0.0306218
   8	   9	  13	  14	-0.0100088	0.0300186
   9	  10	  14	  15	-0.0108488	0.0290493
  10	  11	  15	  16	-0.0109935	0.0289504
  11	  12	  16	  17	-0.0109622	0.0292413
  12	  13	  17	  18	-0.010867	0.0289504
  13	  14	  18	  19	-0.0113033	0.0290493
  14	  15	  19	  20	-0.0101528	0.0300186
  15	  16	  20	  21	-0.00917923	0.0306218
  16	  17	  21	  22	-0.00943359	0.0305176
  17	  18	  22	  23	-0.00927159	0.0303999
  18	  19	  23	  24	-0.00902242	0.0303458
  19	  20	  24	  25	-0.00998159	0.0303152
  20	  21	  25	  26	-0.00955136	0.0303076
  21	  22	  26	  27	-0.00980717	0.0303
  22	  23	  27	  28	-0.00978402	0.0302924
  23	  24	  28	  29	-0.00972424	0.0302924
  24	  25	  29	  30	-0.00942427	0.0302848
  25	  26	  30	  31	-0.00944224	0.0302848
  26	  27	  31	  32	-0.00961174	0.0302848
   1	   3	   8	  10	-0.0170468	0.0256875
   3	   5	  10	  12	-0.0168691	0.0257655
   5	   7	  12	  14	-0.0182365	0.0256916
   7	   9	  14	  16	-0.0200969	0.0249819
   9	  11	  16	  18	-0.01814	0.0253415
  11	  13	  18	  20	-0.019477	0.025129
  13	  15	  20	  22	-0.0184993	0.0252503
  15	  17	  22	  24	-0.0165606	0.0258286
  17	  19	  24	  26	-0.0173857	0.0257119
  19	  21	  26	  28	-0.0180573	0.0256754
  21	  23	  28	  30	-0.0177225	0.0256593
  23	  25	  30	  32	-0.0179779	0.0256553
   1	   3	   9	  11	-0.0121873	0.0279359
   3	   5	  11	  13	-0.0121907	0.0280944
   5	   7	  13	  15	-0.0136734	0.0272606
   7	   9	  15	  17	-0.0135107	0.0271598
   9	  11	  17	  19	-0.0127212	0.0275756
  11	  13	  19	  21	-0.0143234	0.0271598
  13	  15	  21	  23	-0.0137737	0.0272606
  15	  17	  23	  25	-0.0121287	0.0280944
  17	  19	  25	  27	-0.0128839	0.0279359
  19	  21	  27	  29	-0.0127787	0.0278753
  21	  23	  29	  31	-0.0123771	0.0278589
   1	   3	  10	  12	-0.00975382	0.0306737
   3	   5	  12	  14	-0.00964403	0.0304637
   5	   7	  14	  16	-0.0113333	0.0292026
   7	   9	  16	  18	-0.010334	0.0300088
   9	  11	  18	  20	-0.00964412	0.0301537
  11	  13	  20	  22	-0.0100634	0.0295561
