GrÅnhain 020524 PD Profil 4
1.00
6
259
0
1
Total Chargeability
Promille
120,760
  0.00 1.00 1  969.84    8.13
  1.00 1.00 1  863.45    5.53
  2.00 1.00 1  668.36    4.37
  3.00 1.00 1  540.10    3.92
  4.00 1.00 1  526.05    3.92
  5.00 1.00 1  450.10    3.21
  6.00 1.00 1  457.74    5.21
  7.00 1.00 1  518.29    3.21
  8.00 1.00 1  530.81    4.21
  9.00 1.00 1  517.99    3.21
 10.00 1.00 1  711.40    2.76
 11.00 1.00 1  422.60    2.76
 12.00 1.00 1  529.21    3.05
 13.00 1.00 1  709.43    3.21
 14.00 1.00 1 1131.12    5.37
 15.00 1.00 1  958.22    2.76
 16.00 1.00 1  598.69    3.76
 17.00 1.00 1  388.55    2.32
 18.00 1.00 1  346.65    2.61
 19.00 1.00 1  306.64    2.61
 20.00 1.00 1  438.48    2.76
 21.00 1.00 1  310.92    1.76
 22.00 1.00 1  326.28    2.76
 23.00 1.00 1  288.48    2.76
 24.00 1.00 1  258.35    1.76
 25.00 1.00 1  225.83    2.76
 26.00 1.00 1  282.10    2.76
 27.00 1.00 1  329.07    3.21
 28.00 1.00 1  305.62    2.76
 29.00 1.00 1  326.66    3.21
 30.00 1.00 1  266.06    2.61
 31.00 1.00 1  272.92    2.76
 32.00 1.00 1  361.23    2.76
 33.00 1.00 1  297.65    2.76
 34.00 1.00 1  332.59    2.76
 35.00 1.00 1  309.17    3.21
 36.00 1.00 1  297.11    2.76
 37.00 1.00 1  322.96    2.76
 38.00 1.00 1  321.04    1.76
 39.00 1.00 1  429.55    3.05
  0.00 1.00 2  977.51    6.53
  1.00 1.00 2  872.23    5.21
  2.00 1.00 2  677.09    4.21
  3.00 1.00 2  691.91    4.21
  4.00 1.00 2  605.92    3.92
  5.00 1.00 2  555.31    3.76
  6.00 1.00 2  647.30    3.21
  7.00 1.00 2  650.04    3.76
  8.00 1.00 2  559.41    3.21
  9.00 1.00 2  768.10    2.76
 10.00 1.00 2  470.22    2.76
 11.00 1.00 2  565.85    2.76
 12.00 1.00 2 1166.63    3.21
 13.00 1.00 2 1382.00    5.37
 14.00 1.00 2  813.87    1.61
 15.00 1.00 2  529.83    1.45
 16.00 1.00 2  483.84    2.61
 17.00 1.00 2  420.55    2.61
 18.00 1.00 2  361.93    2.61
 19.00 1.00 2  523.67    2.76
 20.00 1.00 2  447.43    1.76
 21.00 1.00 2  320.97    2.61
 22.00 1.00 2  370.77    2.61
 23.00 1.00 2  330.09    1.61
 24.00 1.00 2  310.01    2.76
 25.00 1.00 2  331.66    2.61
 26.00 1.00 2  338.66    2.76
 27.00 1.00 2  376.81    2.05
 28.00 1.00 2  369.62    2.76
 29.00 1.00 2  353.64    2.61
 30.00 1.00 2  329.77    2.61
 31.00 1.00 2  403.39    2.76
 32.00 1.00 2  413.55    3.05
 33.00 1.00 2  369.95    1.76
 34.00 1.00 2  388.96    2.61
 35.00 1.00 2  371.08    2.61
 36.00 1.00 2  394.45    1.61
 37.00 1.00 2  344.13    3.21
 38.00 1.00 2  462.71    2.61
  0.00 1.00 3  936.84    5.82
  1.00 1.00 3  802.99    5.37
  2.00 1.00 3  805.79    4.37
  3.00 1.00 3  726.12    4.21
  4.00 1.00 3  671.41    4.21
  5.00 1.00 3  722.49    3.76
  6.00 1.00 3  746.74    4.21
  7.00 1.00 3  663.12    4.21
  8.00 1.00 3  817.21    2.76
  9.00 1.00 3  473.22    3.05
 10.00 1.00 3  580.99    3.05
 11.00 1.00 3 1083.71    3.76
 12.00 1.00 3 1736.35    5.37
 13.00 1.00 3  880.92    1.76
 14.00 1.00 3  521.01    1.61
 15.00 1.00 3  499.83    1.61
 16.00 1.00 3  500.80    2.76
 17.00 1.00 3  414.69    2.61
 18.00 1.00 3  607.74    2.76
 19.00 1.00 3  499.86    2.61
 20.00 1.00 3  408.09    2.61
 21.00 1.00 3  349.98    1.61
 22.00 1.00 3  389.42    1.61
 23.00 1.00 3  390.03    2.61
 24.00 1.00 3  397.66    2.61
 25.00 1.00 3  374.49    2.76
 26.00 1.00 3  372.92    1.76
 27.00 1.00 3  411.73    2.61
 28.00 1.00 3  394.41    2.61
 29.00 1.00 3  382.55    2.61
 30.00 1.00 3  428.04    2.76
 31.00 1.00 3  422.32    2.76
 32.00 1.00 3  435.63    1.76
 33.00 1.00 3  417.37    2.61
 34.00 1.00 3  422.76    2.61
 35.00 1.00 3  451.51    1.61
 36.00 1.00 3  371.75    2.76
 37.00 1.00 3  453.59    2.61
  0.00 1.00 4  868.67    5.82
  1.00 1.00 4  923.22    4.05
  2.00 1.00 4  834.04    5.21
  3.00 1.00 4  769.96    4.76
  4.00 1.00 4  829.36    4.21
  5.00 1.00 4  815.91    4.21
  6.00 1.00 4  764.05    4.37
  7.00 1.00 4  953.61    2.76
  8.00 1.00 4  502.54    3.76
  9.00 1.00 4  599.93    3.76
 10.00 1.00 4 1073.16    4.21
 11.00 1.00 4 1537.77    5.21
 12.00 1.00 4 1047.08    2.61
 13.00 1.00 4  617.26    2.61
 14.00 1.00 4  539.27    2.61
 15.00 1.00 4  522.60    2.76
 16.00 1.00 4  478.07    2.61
 17.00 1.00 4  704.10    2.61
 18.00 1.00 4  568.48    2.61
 19.00 1.00 4  454.20    2.76
 20.00 1.00 4  418.12    1.45
