Friedhof 010516 PD 1m Profil 1l
1.00
6
304
0
1
Total Chargeability
Promille
120,760
  0.00 1.00 3  121.35    2.29
  2.00 1.00 3   88.21   21.76
  3.00 1.00 3   76.48   15.32
  4.00 1.00 3  101.19   11.42
  5.00 1.00 3  127.18    8.97
  6.00 1.00 3  167.20    8.97
  7.00 1.00 3  179.03    7.21
  8.00 1.00 3  207.46    4.89
  9.00 1.00 3  161.66   10.42
 10.00 1.00 3  198.60    5.21
 11.00 1.00 3  242.50    7.82
 12.00 1.00 3  257.29    6.66
 13.00 1.00 3  223.38    7.66
 14.00 1.00 3  266.12    7.82
 15.00 1.00 3  339.42    7.82
 16.00 1.00 3  281.34    9.13
 17.00 1.00 3  262.97    6.66
 18.00 1.00 3  333.84    8.42
 19.00 1.00 3  411.10    7.82
 20.00 1.00 3  362.82    8.42
 21.00 1.00 3  390.34    7.97
 22.00 1.00 3  474.05    6.21
 23.00 1.00 3  445.07    6.97
 24.00 1.00 3  310.76    7.13
 25.00 1.00 3  453.15    7.97
 26.00 1.00 3  485.73    8.42
 27.00 1.00 3  449.19    5.97
 28.00 1.00 3  393.35    8.37
 29.00 1.00 3  439.05    8.13
 30.00 1.00 3  351.32    6.82
 31.00 1.00 3  233.01    5.37
 32.00 1.00 3  308.70    7.42
 33.00 1.00 3  408.12    9.58
 34.00 1.00 3  381.82    9.13
 35.00 1.00 3  259.01    5.37
 36.00 1.00 3  285.63    7.97
 37.00 1.00 3  330.26    4.61
  1.00 1.00 4   99.91   24.97
  2.00 1.00 4   89.31    5.45
  3.00 1.00 4   76.78   10.89
  4.00 1.00 4  106.02    9.66
  5.00 1.00 4  128.79    9.97
  6.00 1.00 4  161.22    8.50
  7.00 1.00 4  188.31    0.76
  8.00 1.00 4  145.89   10.26
  9.00 1.00 4  195.13    4.61
 10.00 1.00 4  237.57    7.21
 11.00 1.00 4  253.02    2.68
 12.00 1.00 4  245.89    5.61
 13.00 1.00 4  239.97    7.82
 14.00 1.00 4  305.65    7.21
 15.00 1.00 4  251.02    8.97
 16.00 1.00 4  261.15    4.74
 17.00 1.00 4  326.74    8.97
 18.00 1.00 4  392.72    6.21
 19.00 1.00 4  412.03    8.97
 20.00 1.00 4  402.94    7.82
 21.00 1.00 4  443.90    6.05
 22.00 1.00 4  401.92    5.61
 23.00 1.00 4  291.47    7.97
 24.00 1.00 4  429.92    7.97
 25.00 1.00 4  469.97    8.42
 26.00 1.00 4  493.82    5.82
 27.00 1.00 4  481.05    8.97
 28.00 1.00 4  440.61    7.97
 29.00 1.00 4  349.05    6.37
 30.00 1.00 4  217.39    5.66
 31.00 1.00 4  294.75    7.26
 32.00 1.00 4  397.60    9.42
 33.00 1.00 4  412.63    9.58
 34.00 1.00 4  306.93    5.05
 35.00 1.00 4  262.81    7.97
 36.00 1.00 4  264.85    2.84
  0.00 1.00 5  101.82   24.66
  1.00 1.00 5  101.87   -4.45
  2.00 1.00 5   95.17  -10.58
  3.00 1.00 5   88.02    7.66
  4.00 1.00 5  108.34    6.13
  5.00 1.00 5  129.36    8.66
  6.00 1.00 5  170.97   -4.82
  7.00 1.00 5  130.86   10.50
  8.00 1.00 5  182.83    1.24
  9.00 1.00 5  227.43    7.05
 10.00 1.00 5  245.20   -0.84
 11.00 1.00 5  238.74   -2.76
 12.00 1.00 5  256.11    6.21
 13.00 1.00 5  277.28    7.50
 14.00 1.00 5  222.03    9.26
 15.00 1.00 5  241.03   -1.16
 16.00 1.00 5  316.50    7.82
 17.00 1.00 5  373.49    4.13
 18.00 1.00 5  379.38    8.82
 19.00 1.00 5  439.79    6.82
 20.00 1.00 5  449.59    4.29
 21.00 1.00 5  370.70    4.89
 22.00 1.00 5  262.64    7.82
 23.00 1.00 5  406.20    7.97
 24.00 1.00 5  430.07    8.42
 25.00 1.00 5  462.66    5.05
 26.00 1.00 5  510.70    1.84
 27.00 1.00 5  508.85    8.42
 28.00 1.00 5  344.16    6.05
 29.00 1.00 5  213.96    5.21
 30.00 1.00 5  283.41    6.82
 31.00 1.00 5  379.32    8.97
 32.00 1.00 5  405.29    8.82
 33.00 1.00 5  340.58    0.08
 34.00 1.00 5  307.99    7.97
 35.00 1.00 5  262.98    2.84
  0.00 1.00 6  102.76   12.79
  1.00 1.00 6  108.15  -24.00
  2.00 1.00 6  108.49  -19.39
  3.00 1.00 6   95.56   -4.92
  4.00 1.00 6  109.23    7.29
  5.00 1.00 6  138.09    1.32
  6.00 1.00 6  118.59    8.89
  7.00 1.00 6  167.79    3.68
  8.00 1.00 6  211.92   -1.16
  9.00 1.00 6  232.25   -2.61
