"Wolkenburg",40611,"Schlumberger","1.4m"
1.5
7
276
1
0
2.25,1.5,1,233.43
3.75,1.5,1,217.18
5.25,1.5,1,236.63
6.75,1.5,1,241.08
8.25,1.5,1,250.8
9.75,1.5,1,252.75
11.25,1.5,1,278.13
12.75,1.5,1,243.21
14.25,1.5,1,315.22
15.75,1.5,1,280.12
17.25,1.5,1,269.97
18.75,1.5,1,374.46
20.25,1.5,1,349.5
21.75,1.5,1,312.74
23.25,1.5,1,299.9
24.75,1.5,1,293.07
26.25,1.5,1,274.58
27.75,1.5,1,266.13
29.25,1.5,1,263.04
30.75,1.5,1,297.11
32.25,1.5,1,346.4
33.75,1.5,1,418.25
35.25,1.5,1,499.58
36.75,1.5,1,567.24
38.25,1.5,1,624.1
39.75,1.5,1,674.83
41.25,1.5,1,684.52
42.75,1.5,1,719.97
44.25,1.5,1,706.74
45.75,1.5,1,733.26
47.25,1.5,1,674.74
3.75,1.5,2,222.46
5.25,1.5,2,255.68
6.75,1.5,2,256.66
8.25,1.5,2,269.7
9.75,1.5,2,268.257
11.25,1.5,2,283.23
12.75,1.5,2,312.252
14.25,1.5,2,415.95
15.75,1.5,2,311.85
17.25,1.5,2,282.43
18.75,1.5,2,459.18
20.25,1.5,2,438.256
21.75,1.5,2,324.76
23.25,1.5,2,318.88
24.75,1.5,2,339.69
26.25,1.5,2,311
27.75,1.5,2,288.57
29.25,1.5,2,275.84
30.75,1.5,2,310.4
32.25,1.5,2,358.77
33.75,1.5,2,420.5
35.25,1.5,2,479.48
36.75,1.5,2,530.67
38.25,1.5,2,603.54
39.75,1.5,2,685.24
41.25,1.5,2,703.97
42.75,1.5,2,725.71
44.25,1.5,2,713.19
45.75,1.5,2,724.65
5.25,1.5,3,244.5
6.75,1.5,3,269.44
8.25,1.5,3,291.97
9.75,1.5,3,272.59
11.25,1.5,3,309.23
12.75,1.5,3,350.18
14.25,1.5,3,390
15.75,1.5,3,281.98
17.25,1.5,3,274.61
18.75,1.5,3,430.48
20.25,1.5,3,436.11
21.75,1.5,3,326.87
23.25,1.5,3,294.97
24.75,1.5,3,320.22
26.25,1.5,3,329.45
27.75,1.5,3,303.51
29.25,1.5,3,284.67
30.75,1.5,3,316.93
32.25,1.5,3,356.29
33.75,1.5,3,399.09
35.25,1.5,3,430.4
36.75,1.5,3,468.96
38.25,1.5,3,525.98
39.75,1.5,3,600.17
41.25,1.5,3,611.87
42.75,1.5,3,614.46
44.25,1.5,3,586.28
6.75,1.5,4,251.27
8.25,1.5,4,283.6
9.75,1.5,4,295.75
11.25,1.5,4,340.59
12.75,1.5,4,321.85
14.25,1.5,4,342.46
15.75,1.5,4,263.43
17.25,1.5,4,258.12
18.75,1.5,4,398.53
20.25,1.5,4,380.87
21.75,1.5,4,317.21
23.25,1.5,4,297.62
24.75,1.5,4,299.81
26.25,1.5,4,315.67
27.75,1.5,4,314.68
29.25,1.5,4,292.61
30.75,1.5,4,313.16
32.25,1.5,4,336.73
33.75,1.5,4,366.84
35.25,1.5,4,398.66
36.75,1.5,4,422
38.25,1.5,4,455.6
39.75,1.5,4,498.25
41.25,1.5,4,497.67
42.75,1.5,4,500.14
8.25,1.5,5,273.02
9.75,1.5,5,306.56
11.25,1.5,5,323.49
12.75,1.5,5,300.9
14.25,1.5,5,323.99
15.75,1.5,5,251.88
17.25,1.5,5,243.21
18.75,1.5,5,365.69
20.25,1.5,5,357.74
21.75,1.5,5,293.54
23.25,1.5,5,304.49
24.75,1.5,5,310.83
26.25,1.5,5,306.08
27.75,1.5,5,307.74
29.25,1.5,5,296.52
30.75,1.5,5,311.254
32.25,1.5,5,314.75
33.75,1.5,5,344.14
35.25,1.5,5,375.253
36.75,1.5,5,396.61
38.25,1.5,5,403.21
39.75,1.5,5,421.76
41.25,1.5,5,413.1
9.75,1.5,6,273.07
11.25,1.5,6,296.254
12.75,1.5,6,298.78
14.25,1.5,6,318.85
15.75,1.5,6,242.14
17.25,1.5,6,238.29
18.75,1.5,6,352.51
20.25,1.5,6,343.259
21.75,1.5,6,287.255
23.25,1.5,6,296.254
24.75,1.5,6,319.63
26.25,1.5,6,315.42
27.75,1.5,6,299.13
29.25,1.5,6,288.78
30.75,1.5,6,296.41
32.25,1.5,6,304.19
33.75,1.5,6,331.91
35.25,1.5,6,357.61
36.75,1.5,6,369.12
38.25,1.5,6,375.7
39.75,1.5,6,382.88
11.25,1.5,7,277.85
12.75,1.5,7,288.64
14.25,1.5,7,321.4
15.75,1.5,7,241.88
17.25,1.5,7,230.12
18.75,1.5,7,351.58
20.25,1.5,7,347.251
21.75,1.5,7,297.09
23.25,1.5,7,296.2
24.75,1.5,7,317.74
26.25,1.5,7,332.26
27.75,1.5,7,304.9
29.25,1.5,7,276.69
30.75,1.5,7,285.06
32.25,1.5,7,307.84
33.75,1.5,7,328.61
35.25,1.5,7,342.88
36.75,1.5,7,359.97
38.25,1.5,7,358.58
12.75,1.5,8,273.67
14.25,1.5,8,303.97
15.75,1.5,8,242.56
17.25,1.5,8,239.95
18.75,1.5,8,361.59
20.25,1.5,8,361.61
21.75,1.5,8,296.08
23.25,1.5,8,301.98
24.75,1.5,8,328.12
26.25,1.5,8,333.42
27.75,1.5,8,321.16
29.25,1.5,8,273.251
30.75,1.5,8,278.4
32.25,1.5,8,289.73
33.75,1.5,8,327.44
35.25,1.5,8,346.254
36.75,1.5,8,347.12
14.25,1.5,9,297.257
15.75,1.5,9,239.48
17.25,1.5,9,249.96
18.75,1.5,9,378.07
20.25,1.5,9,364.9
21.75,1.5,9,305.45
23.25,1.5,9,316.48
24.75,1.5,9,314.94
26.25,1.5,9,319.97
27.75,1.5,9,300.83
29.25,1.5,9,278.05
30.75,1.5,9,281.17
32.25,1.5,9,283.43
33.75,1.5,9,312.91
35.25,1.5,9,335.45
15.75,1.5,10,242.4
17.25,1.5,10,263.18
18.75,1.5,10,394.97
20.25,1.5,10,392.94
21.75,1.5,10,309.21
23.25,1.5,10,319.28
24.75,1.5,10,326.07
26.25,1.5,10,317.45
27.75,1.5,10,312.95
29.25,1.5,10,295.16
30.75,1.5,10,300.62
32.25,1.5,10,315.57
33.75,1.5,10,307.94
4.5,3,1,234.575
7.5,3,1,273.745
10.5,3,1,275.48
13.5,3,1,390.595
16.5,3,1,281.12
19.5,3,1,460.09
22.5,3,1,309.025
25.5,3,1,334.745
28.5,3,1,288.725
31.5,3,1,345.935
34.5,3,1,437.665
37.5,3,1,533.22
40.5,3,1,666.29
43.5,3,1,664.015
7.5,3,2,259.495
10.5,3,2,330.77
13.5,3,2,319.655
16.5,3,2,253.21
19.5,3,2,377.82
22.5,3,2,307.12
25.5,3,2,300.83
28.5,3,2,308.25
31.5,3,2,323.275
34.5,3,2,373.505
37.5,3,2,419.635
40.5,3,2,458.72
10.5,3,3,270.27
13.5,3,3,311.495
16.5,3,3,232.115
19.5,3,3,345.03
22.5,3,3,292.72
25.5,3,3,319.875
28.5,3,3,283.24
31.5,3,3,300.252
34.5,3,3,340.505
37.5,3,3,363.425
13.5,3,4,286.2535
16.5,3,4,241.94
19.5,3,4,362.68
22.5,3,4,302.535
25.5,3,4,318.62
28.5,3,4,289.485
31.5,3,4,281.53
34.5,3,4,323.845
16.5,3,5,250.07
19.5,3,5,396.58
22.5,3,5,309.12
25.5,3,5,316.995
28.5,3,5,291.255
31.5,3,5,285.105
19.5,3,6,382.485
22.5,3,6,319.945
25.5,3,6,331.505
28.5,3,6,295.16
22.5,3,7,306.2555
25.5,3,7,337.251
0
0
0
0
