16
0.13	-13.72	0
-6.86	-13.68	0
-13.5	-12.2	0
-17.43	-6.73	0
-18.5	-0.2	0
-17.06	6.83	0
-13.53	11.7	0
-6.7	13.6	0
0	12.9	0
6.64	13.67	0
13.31	12.23	0
17.66	6.79	0
18.91	0.16	0
17.91	-6.37	0
13.85	-11.67	0
6.96	-13.75	0
104
1	2	3	4	-4.41830915852089e-02
1	2	4	5	-1.97830685268761e-02
1	2	5	6	-1.30974587441320e-02
1	2	6	7	-6.01209037883380e-03
1	2	7	8	-6.04794850681384e-03
1	2	8	9	-4.12287865773773e-03
1	2	9	10	-3.53661321161859e-03
1	2	10	11	-4.47129760998996e-03
1	2	11	12	-4.49463226901998e-03
1	2	12	13	-7.05932740326230e-03
1	2	13	14	-9.98210326462180e-03
1	2	14	15	-1.66055262097517e-02
1	2	15	16	-3.73103966876731e-02
2	3	4	5	-5.38306638746995e-02
2	3	5	6	-2.24628765466466e-02
2	3	6	7	-8.09122857616720e-03
2	3	7	8	-6.98537868034248e-03
2	3	8	9	-3.89756060368750e-03
2	3	9	10	-1.97178550669842e-03
2	3	10	11	-1.51837131451353e-03
2	3	11	12	-1.43793239099139e-03
2	3	12	13	-2.12169446742670e-03
2	3	13	14	-2.77254001442455e-03
2	3	14	15	-4.09543398164813e-03
2	3	15	16	-7.05576899306260e-03
2	3	16	1	-3.87165001911058e-02
3	4	5	6	-6.27405213797449e-02
3	4	6	7	-1.65660396116247e-02
3	4	7	8	-1.20980701965630e-02
3	4	8	9	-6.12307512141960e-03
3	4	9	10	-2.61984420221434e-03
3	4	10	11	-1.55023324225303e-03
3	4	11	12	-1.28090353804078e-03
3	4	12	13	-1.71160668175054e-03
3	4	13	14	-2.06727022789981e-03
3	4	14	15	-2.79254137800381e-03
3	4	15	16	-4.24865941183649e-03
3	4	16	1	-1.80837177969923e-02
4	5	6	7	-4.63299586432945e-02
4	5	7	8	-2.45707290445522e-02
4	5	8	9	-1.07202316611443e-02
4	5	9	10	-3.92673251150456e-03
4	5	10	11	-1.77260546139095e-03
4	5	11	12	-1.27868146269887e-03
4	5	12	13	-1.53889740580688e-03
4	5	13	14	-1.71951928959078e-03
4	5	14	15	-2.14922600817814e-03
4	5	15	16	-2.99543215290341e-03
4	5	16	1	-1.13108551867525e-02
5	6	7	8	-8.74229941390900e-02
5	6	8	9	-2.71690932460531e-02
5	6	9	10	-8.15571162478513e-03
5	6	10	11	-2.61510233850560e-03
5	6	11	12	-1.62702187324013e-03
5	6	12	13	-1.73687979274174e-03
5	6	13	14	-1.77394234233688e-03
5	6	14	15	-2.04023224125122e-03
5	6	15	16	-2.61977514588655e-03
5	6	16	1	-9.06220192338226e-03
6	7	8	9	-4.95271207858668e-02
6	7	9	10	-1.11821450571482e-02
6	7	10	11	-2.58456311551499e-03
6	7	11	12	-1.36299622845541e-03
6	7	12	13	-1.26591891744486e-03
6	7	13	14	-1.16380109353572e-03
6	7	14	15	-1.21558173166886e-03
6	7	15	16	-1.43259116565788e-03
6	7	16	1	-4.64390182621215e-03
7	8	9	10	-4.38859944932554e-02
7	8	10	11	-6.53498825614640e-03
7	8	11	12	-2.79747326815906e-03
7	8	12	13	-2.18584696608706e-03
7	8	13	14	-1.75407177217406e-03
7	8	14	15	-1.60562771213367e-03
7	8	15	16	-1.67770063798981e-03
7	8	16	1	-5.08967640272956e-03
8	9	10	11	-3.71224831367767e-02
8	9	11	12	-9.62919543673330e-03
8	9	12	13	-5.36643757012420e-03
8	9	13	14	-3.22536895532680e-03
8	9	14	15	-2.31258410422223e-03
8	9	15	16	-1.87644659493038e-03
8	9	16	1	-3.88022983055158e-03
9	10	11	12	-5.38243064345884e-02
9	10	12	13	-2.10930315538737e-02
9	10	13	14	-1.00601166536703e-02
9	10	14	15	-5.93216245122286e-03
9	10	15	16	-3.83731312272609e-03
9	10	16	1	-4.20577912885731e-03
10	11	12	13	-6.67027793025653e-02
10	11	13	14	-2.43376360746635e-02
10	11	14	15	-1.25293307385589e-02
10	11	15	16	-7.33883025722317e-03
10	11	16	1	-6.11250153439208e-03
11	12	13	14	-5.20149151791120e-02
11	12	14	15	-1.89676597416277e-02
11	12	15	16	-9.36473477166800e-03
11	12	16	1	-6.65924345750860e-03
12	13	14	15	-5.83504244935102e-02
12	13	15	16	-2.09889440383831e-02
12	13	16	1	-1.15628428883469e-02
13	14	15	16	-5.43416592491380e-02
13	14	16	1	-1.90475749918467e-02
14	15	16	1	-4.24279795215735e-02
