24
0.3	0	0
0.295351	-0.0791392	0
0.264715	-0.152833	0
0.202842	-0.202842	0
0.140034	-0.242545	0
0.0801469	-0.299112	0
0	-0.335593	0
-0.0794208	-0.296402	0
-0.128195	-0.222041	0
-0.188865	-0.188865	0
-0.29147	-0.16828	0
-0.347697	-0.0931651	0
-0.3	0	0
-0.289778	0.0776457	0
-0.259808	0.15	0
-0.212132	0.212132	0
-0.15	0.259808	0
-0.0776457	0.289778	0
0	0.3	0
0.0776457	0.289778	0
0.15	0.259808	0
0.212132	0.212132	0
0.259808	0.15	0
0.289778	0.0776457	0
252
#a b m n r
  1   2   3   4  -79.92
  1   2   4   5  -24.19
  1   2   5   6  -8.76
  1   2   6   7  -2.85
  1   2   7   8  -1.53
  1   2   8   9  -2.29
  1   2   9  10  -2.68
  1   2  10  11  -1.29
  1   2  11  12  -0.35
  1   2  12  13  -0.71
  1   2  13  14  -0.81
  1   2  14  15  -0.80
  1   2  15  16  -0.87
  1   2  16  17  -1.01
  1   2  17  18  -1.22
  1   2  18  19  -1.58
  1   2  19  20  -2.44
  1   2  20  21  -4.11
  1   2  21  22  -7.79
  1   2  22  23  -18.63
  1   2  23  24  -71.39
  2   3   4   5  -74.89
  2   3   5   6  -16.30
  2   3   6   7  -4.36
  2   3   7   8  -2.08
  2   3   8   9  -2.82
  2   3   9  10  -3.03
  2   3  10  11  -1.38
  2   3  11  12  -0.35
  2   3  12  13  -0.64
  2   3  13  14  -0.70
  2   3  14  15  -0.65
  2   3  15  16  -0.67
  2   3  16  17  -0.73
  2   3  17  18  -0.83
  2   3  18  19  -0.99
  2   3  19  20  -1.39
  2   3  20  21  -2.12
  2   3  21  22  -3.50
  2   3  22  23  -6.70
  2   3  23  24  -16.29
  2   3  24   1  -64.75
  3   4   5   6  -62.22
  3   4   6   7  -11.19
  3   4   7   8  -4.54
  3   4   8   9  -5.36
  3   4   9  10  -5.20
  3   4  10  11  -2.22
  3   4  11  12  -0.53
  3   4  12  13  -0.84
