24 # electrodes
# x y
0	0.17189
0.044488	0.16603
0.085945	0.14886
0.12154	0.12154
0.14886	0.085945
0.16603	0.044488
0.17189	1.05e-013
0.16603	-0.044488
0.14886	-0.085945
0.12154	-0.12154
0.085945	-0.14886
0.044488	-0.16603
2.11e-014	-0.17189
-0.044488	-0.16603
-0.085945	-0.14886
-0.12154	-0.12154
-0.14886	-0.085945
-0.16603	-0.044488
-0.17189	-3.16e-013
-0.16603	0.044488
-0.14886	0.085945
-0.12154	0.12154
-0.085945	0.14886
-0.044488	0.16603
286 # measurements
# a b m n r err ip
  1    2    3    4  0.664  0.032  -0.255
  1    2    4    5  0.657  0.032  -0.651
  1    2    5    6  0.181  0.036  -0.626
  1    2    6    7  0.107  0.039  -0.555
  1    2    7    8  0.081  0.042  -0.319
  1    2    8    9  0.053  0.049  -0.301
  1    2    9   10  0.032  0.062  -0.192
  1    2   10   11  0.017  0.089  0.062
  1    2   11   12  0.018  0.086  0.031
  1    2   12   13  0.024  0.072  0.157
  1    2   13   14  0.023  0.073  0.144
  1    2   14   15  0.025  0.070  0.038
  1    2   15   16  0.018  0.085  -0.331
  1    2   16   17  0.037  0.057  -0.187
  1    2   17   18  0.081  0.042  -0.555
  1    2   18   19  0.049  0.050  -0.545
  1    2   19   20  0.047  0.051  -0.562
  1    2   20   21  0.039  0.056  -0.521
  1    2   21   22  0.068  0.045  -0.205
  1    2   22   23  0.166  0.036  0.139
  1    2   23   24  0.410  0.032  0.102
  2    3    4    5  2.866  0.030  -0.636
  2    3    5    6  0.494  0.032  -0.744
  2    3    6    7  0.222  0.035  -0.739
  2    3    7    8  0.149  0.037  -0.536
  2    3    8    9  0.089  0.041  -0.546
  2    3    9   10  0.050  0.050  -0.482
  2    3   10   11  0.026  0.068  -0.280
  2    3   11   12  0.026  0.068  -0.098
  2    3   12   13  0.033  0.060  -0.110
  2    3   13   14  0.031  0.062  -0.120
  2    3   14   15  0.033  0.061  -0.159
  2    3   15   16  0.023  0.074  -0.889
