#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
0.020	0.013	6.596	-236.4	5.795	-130.7	5.919	-200.7	13.8	-741.6
0.069	0.013	6.796	-231.9	6.01	-139.3	6.079	-201.1	14.05	-559.6
0.134	0.013	7.242	-222.5	6.491	-157.7	6.432	-201.4	14.47	-187
0.217	0.013	8.027	-209.7	7.337	-188.3	7.05	-199.6	14.71	293.3
0.316	0.013	9.289	-199.6	8.645	-231.1	8.038	-187.7	13.55	504.4
0.410	0.013	10.4	-127.6	9.464	-293	8.353	-0.5352	5.717	-2579
0.490	0.013	7.534	-120.5	6.6	-271.8	5.735	88.55	5.065	-1226
0.570	0.013	21.83	-61.26	20.68	-231.1	15.52	3.765	17.49	-196
0.650	0.013	11.35	-101	8.422	-47.68	6.323	-57.4	8.408	-74.09
0.730	0.013	14.58	-87.01	12.82	-79.16	11.26	-336.5	6.872	-3136
0.810	0.013	10.63	-134.4	6.601	109.1	7.469	-307.8	4.987	-3228
0.890	0.013	9.348	-122.1	7.346	66.68	7.485	-436.4	3.956	-4219
0.970	0.013	7.268	-52.05	5.581	-113.1	5.588	-376.2	2.589	-3816
1.050	0.013	10	-129.8	8.683	-48.78	8.484	-381.5	3.401	-4587
1.130	0.013	18.68	-17.15	17.55	-61.21	17.18	-346.1	5.34	-4266
1.210	0.013	12.83	-44.14	10.28	-72.51	6.467	61.81	4.79	-2791
1.290	0.013	15.23	-77	13.43	39.54	15.06	-549.7	5.785	-2927
1.370	0.013	22.95	86.19	23.88	-102.4	20.71	-202.7	19.76	-2608
1.450	0.013	10.18	-62.37	9.23	-53.57	9.734	-441	15.63	-1044
1.530	0.013	9.685	21.9	11.23	-119.6	9.294	-359.6	14.91	-1240
1.610	0.013	11.42	-54.08	12.34	-104.4	13.18	-391	14.97	-2363
1.690	0.013	9.039	12.9	8.566	-114.5	8.664	-280.8	29.63	-948.1
1.770	0.013	7.552	-19.7	8.155	-111.6	7.436	-184.3	24.45	5.972
1.850	0.013	7.67	43.18	8.302	-148.5	7.882	-399.1	17.72	-238.3
1.930	0.013	14.51	-34.33	16.73	-157.1	14.97	-226.8	52.76	1008
2.010	0.013	5.117	67.86	4.511	-53.14	4.194	-327.2	12.02	238.3
2.090	0.013	7.426	58.33	8.976	-130.1	7.675	-181.9	21.62	-22.18
2.170	0.013	8.083	8.563	7.756	-44.44	6.708	-321.3	11.6	-481.7
2.250	0.013	5.461	-29.1	4.541	28.17	4.121	-222.2	4.558	-606.8
2.340	0.013	11.94	-40.06	9.754	37.11	8.108	153.6	13.44	-2438
2.425	0.013	10.37	-26.91	8.691	26.3	6.978	199.9	8.34	-1889
2.480	0.013	9.627	-20.3	8.208	18.79	6.435	229.8	6.655	-1813
0.007	0.040	6.571	-236.9	5.769	-129.6	5.9	-200.6	13.77	-764
0.050	0.040	6.717	-233.7	5.925	-136	6.017	-201	13.96	-631.8
0.109	0.040	7.089	-225.8	6.326	-151.8	6.314	-201.4	14.35	-316.1
0.186	0.040	7.761	-214.3	7.05	-179.3	6.847	-200.3	14.68	124.2
0.280	0.040	8.792	-205.8	8.128	-227.9	7.675	-190	13.78	224.9
0.383	0.040	9.349	-161.9	8.468	-313	7.753	-46.45	7.075	-2578
0.463	0.040	9.831	-107.2	9.785	-147.3	8.463	57.23	7.643	1224
0.543	0.040	18.18	-280.7	12.08	-59.42	11.26	-338.5	8.929	-1163
0.623	0.040	11.05	-25.2	10.71	-119	9.281	162.8	8.054	-1577
0.703	0.040	16.84	3.201	12.39	29.81	12.39	-358	13.34	1042
0.783	0.040	12.61	-20.31	14.71	-483.8	11.86	-205.6	8.551	-3115
0.863	0.040	9.973	-77.77	8.851	-206.6	7.134	17.77	7.689	-177.8
0.943	0.040	10.13	-102.8	8.587	158.1	7.486	-258.5	4.619	-2545
1.023	0.040	11.31	112.2	9.852	-303.7	6.848	-5.731	10.53	-820.1
1.103	0.040	14.29	-249.4	9.954	91.85	8.344	-184.7	4.753	-1693
1.183	0.040	14.18	-124.5	11.26	63.66	18.01	-839.8	4.22	-1341
1.263	0.040	13.03	-3.386	13.88	-361.7	13.54	-612	22.36	1196
1.343	0.040	15.99	-121.1	14.5	378.9	18.16	-497.1	9.895	-2122
1.423	0.040	11.02	-177.1	10.78	-240	8.1	-18.54	2.53	-3315
1.503	0.040	12.48	-125.8	9.268	-13.28	12.62	-249	33.39	4649
1.583	0.040	10.5	113	11.29	-73.47	6.234	147.9	10.81	-780.6
1.663	0.040	11.29	-60.2	11.19	-72.56	9.375	-500.2	3.627	-1187
1.743	0.040	11.51	33.09	16.36	-122.6	9.078	-101	11.74	121.5
1.823	0.040	13.02	18.49	12.86	50.91	9.95	-52.68	41.14	1878
1.903	0.040	13.44	54.87	13.31	-163	11.88	-365.1	18.08	-1827
1.983	0.040	8.524	-193.6	9.722	-173.6	7.824	-15.22	6.856	2110
2.063	0.040	11.04	230.7	10.2	1.569	8.342	-366.8	6.487	-1269
2.143	0.040	9.757	-84.81	8.235	-111.1	6.645	-120.8	14.68	189.3
2.223	0.040	6.066	12.35	6.136	-117.1	4.999	-96.44	6.67	-1281
2.307	0.040	9.962	-49.8	8	57.03	7.048	24.7	11.58	-2527
2.402	0.040	10.56	-30.08	8.781	30.83	7.137	185.4	8.998	-1974
2.467	0.040	9.709	-21.17	8.259	19.81	6.498	225.7	6.836	-1822
0.033	0.040	6.62	-235.8	5.821	-131.8	5.938	-200.8	13.83	-719.7
0.088	0.040	6.873	-230.3	6.093	-142.7	6.141	-201.2	14.13	-495.1
0.159	0.040	7.385	-220.3	6.645	-163.9	6.548	-201.2	14.54	-100.4
0.247	0.040	8.239	-209	7.557	-200.2	7.229	-197.2	14.48	270.7
0.352	0.040	9.186	-199.9	8.463	-279.9	7.927	-151	10.94	-835.8
0.437	0.040	10.41	-110.6	9.816	-186.7	8.513	46.51	6.963	-549.1
0.517	0.040	12.38	-222	9.965	-174.7	8.946	-215.1	4.735	-1065
0.597	0.040	14.03	-37.16	10.58	18.21	9.12	236.8	19.55	700.9
0.677	0.040	14.89	61.97	17.2	-345.1	15.67	-484	7.001	-1213
0.757	0.040	14.93	-140.9	11.86	-302.9	9.75	80.16	14.76	-90.58
0.837	0.040	10.68	-118.6	11.67	-94.16	8.125	-164.4	12.04	-168.5
0.917	0.040	10.82	9.087	7.809	-75.07	7.145	-214.7	3.887	-2658
0.997	0.040	9.953	-124	7.652	77.11	7.235	-204.9	6.716	-2231
1.077	0.040	10.7	-182.4	7.804	52.09	8.008	-442.9	2.047	-1875
1.157	0.040	15.71	-81.13	11.57	-45.89	13.5	-591.6	10.28	281.4
1.237	0.040	11.9	-114.6	13.65	-107.3	21.78	-1044	8.872	-2262
1.317	0.040	14.01	35.42	13.35	152.3	9.225	352.8	4.526	-3613
1.397	0.040	15.23	-330.2	11.23	-137.9	11.57	-345.3	6.899	-1224
1.477	0.040	12.91	56.26	12.57	-78.7	9.807	42.55	13.86	2340
1.557	0.040	10.54	2.045	10.83	-74.87	8.019	-76.87	3.006	-4471
1.637	0.040	12.15	47.73	10.92	5.762	7.575	-386.8	17.4	-92.63
1.717	0.040	12.33	-72	18.68	-82.02	9.718	118.2	14.68	-52.53
1.797	0.040	13.12	157.4	12.44	-62.13	13.92	-364.3	24.88	-995.4
1.877	0.040	10.66	-101.4	11.08	-210.7	8.704	16.35	23.98	312.3
1.957	0.040	12.59	-61.85	10.2	-9.355	8.47	-194.2	3.157	-210.9
2.037	0.040	9.007	206.6	12.24	-140.5	9.424	-108.3	10.98	-1457
2.117	0.040	10.08	-156.4	6.33	9.482	5.84	-340.8	15.75	684.2
2.197	0.040	7.036	39.12	8.584	-224.5	6.484	30.43	10.75	-1105
2.277	0.040	6.7	-48.07	5.515	44.38	5.185	-224.5	7.764	-1981
2.373	0.040	11.11	-38.34	9.072	41.59	7.597	146.6	11.16	-2211
2.448	0.040	10.05	-24.44	8.477	23.75	6.756	210	7.604	-1859
2.493	0.040	9.538	-19.53	8.15	17.87	6.371	233.4	6.478	-1805
0.020	0.067	6.547	-237.5	5.743	-128.6	5.88	-200.6	13.74	-786.8
0.069	0.067	6.736	-233.4	5.945	-137	6.033	-201	13.99	-620.6
